城市编码,区域年鉴.年份,城市别名,级别
130100,1999,石家庄市,地级市（区）
130200,1999,唐山市,地级市（区）
130300,1999,秦皇岛市,地级市（区）
130400,1999,邯郸市,地级市（区）
130500,1999,邢台市,地级市（区）
130600,1999,保定市,地级市（区）
130700,1999,张家口市,地级市（区）
130800,1999,承德市,地级市（区）
130900,1999,沧州市,地级市（区）
131000,1999,廊坊市,地级市（区）
131100,1999,衡水市,地级市（区）
140100,1999,太原市,地级市（区）
140200,1999,大同市,地级市（区）
140300,1999,阳泉市,地级市（区）
140400,1999,长治市,地级市（区）
140500,1999,晋城市,地级市（区）
140600,1999,朔州市,地级市（区）
140700,1999,晋中市,地级市（区）
140800,1999,运城市,地级市（区）
140900,1999,忻州市,地级市（区）
141000,1999,临汾市,地级市（区）
141100,1999,吕梁市,地级市（区）
150100,1999,呼和浩特市,地级市（区）
150200,1999,包头市,地级市（区）
150300,1999,乌海市,地级市（区）
150400,1999,赤峰市,地级市（区）
150500,1999,通辽市,地级市（区）
150600,1999,鄂尔多斯市,地级市（区）
150700,1999,呼伦贝尔市,地级市（区）
150800,1999,巴彦淖尔市,地级市（区）
150900,1999,乌兰察布市,地级市（区）
152200,1999,兴安盟,地级市（区）
152500,1999,锡林郭勒盟,地级市（区）
152900,1999,阿拉善盟,地级市（区）
210100,1999,沈阳市,副省级城市
210200,1999,大连市,副省级城市
210300,1999,鞍山市,地级市（区）
210400,1999,抚顺市,地级市（区）
210500,1999,本溪市,地级市（区）
210600,1999,丹东市,地级市（区）
210700,1999,锦州市,地级市（区）
210800,1999,营口市,地级市（区）
210900,1999,阜新市,地级市（区）
211000,1999,辽阳市,地级市（区）
211100,1999,盘锦市,地级市（区）
211200,1999,铁岭市,地级市（区）
211300,1999,朝阳市,地级市（区）
211400,1999,葫芦岛市,地级市（区）
220100,1999,长春市,副省级城市
220200,1999,吉林市,地级市（区）
220300,1999,四平市,地级市（区）
220400,1999,辽源市,地级市（区）
220500,1999,通化市,地级市（区）
220600,1999,白山市,地级市（区）
220700,1999,松原市,地级市（区）
220800,1999,白城市,地级市（区）
222400,1999,延边朝鲜族自治州,地级市（区）
230100,1999,哈尔滨市,副省级城市
230200,1999,齐齐哈尔市,地级市（区）
230300,1999,鸡西市,地级市（区）
230400,1999,鹤岗市,地级市（区）
230500,1999,双鸭山市,地级市（区）
230600,1999,大庆市,地级市（区）
230700,1999,伊春市,地级市（区）
230800,1999,佳木斯市,地级市（区）
230900,1999,七台河市,地级市（区）
231000,1999,牡丹江市,地级市（区）
231100,1999,黑河市,地级市（区）
231200,1999,绥化市,地级市（区）
232700,1999,大兴安岭地区,地级市（区）
320100,1999,南京市,副省级城市
320200,1999,无锡市,地级市（区）
320300,1999,徐州市,地级市（区）
320400,1999,常州市,地级市（区）
320500,1999,苏州市,地级市（区）
320600,1999,南通市,地级市（区）
320700,1999,连云港市,地级市（区）
320800,1999,淮安市,地级市（区）
320900,1999,盐城市,地级市（区）
321000,1999,扬州市,地级市（区）
321100,1999,镇江市,地级市（区）
321200,1999,泰州市,地级市（区）
321300,1999,宿迁市,地级市（区）
330100,1999,杭州市,副省级城市
330200,1999,宁波市,副省级城市
330300,1999,温州市,地级市（区）
330400,1999,嘉兴市,地级市（区）
330500,1999,湖州市,地级市（区）
330600,1999,绍兴市,地级市（区）
330700,1999,金华市,地级市（区）
330800,1999,衢州市,地级市（区）
330900,1999,舟山市,地级市（区）
331000,1999,台州市,地级市（区）
331100,1999,丽水市,地级市（区）
340100,1999,合肥市,地级市（区）
340200,1999,芜湖市,地级市（区）
340300,1999,蚌埠市,地级市（区）
340400,1999,淮南市,地级市（区）
340500,1999,马鞍山市,地级市（区）
340600,1999,淮北市,地级市（区）
340700,1999,铜陵市,地级市（区）
340800,1999,安庆市,地级市（区）
341000,1999,黄山市,地级市（区）
341100,1999,滁州市,地级市（区）
341200,1999,阜阳市,地级市（区）
341300,1999,宿州市,地级市（区）
341400,1999,巢湖市,地级市（区）
341500,1999,六安市,地级市（区）
341600,1999,亳州市,地级市（区）
341700,1999,池州市,地级市（区）
341800,1999,宣城市,地级市（区）
350100,1999,福州市,地级市（区）
350200,1999,厦门市,副省级城市
350300,1999,莆田市,地级市（区）
350400,1999,三明市,地级市（区）
350500,1999,泉州市,地级市（区）
350600,1999,漳州市,地级市（区）
350700,1999,南平市,地级市（区）
350800,1999,龙岩市,地级市（区）
350900,1999,宁德市,地级市（区）
360100,1999,南昌市,地级市（区）
360200,1999,景德镇市,地级市（区）
360300,1999,萍乡市,地级市（区）
360400,1999,九江市,地级市（区）
360500,1999,新余市,地级市（区）
360600,1999,鹰潭市,地级市（区）
360700,1999,赣州市,地级市（区）
360800,1999,吉安市,地级市（区）
360900,1999,宜春市,地级市（区）
361000,1999,抚州市,地级市（区）
361100,1999,上饶市,地级市（区）
370100,1999,济南市,副省级城市
370200,1999,青岛市,副省级城市
370300,1999,淄博市,地级市（区）
370400,1999,枣庄市,地级市（区）
370500,1999,东营市,地级市（区）
370600,1999,烟台市,地级市（区）
370700,1999,潍坊市,地级市（区）
370800,1999,济宁市,地级市（区）
370900,1999,泰安市,地级市（区）
371000,1999,威海市,地级市（区）
371100,1999,日照市,地级市（区）
371200,1999,莱芜市,地级市（区）
371300,1999,临沂市,地级市（区）
371400,1999,德州市,地级市（区）
371500,1999,聊城市,地级市（区）
371600,1999,滨州市,地级市（区）
371700,1999,菏泽市,地级市（区）
410100,1999,郑州市,地级市（区）
410200,1999,开封市,地级市（区）
410300,1999,洛阳市,地级市（区）
410400,1999,平顶山市,地级市（区）
410500,1999,安阳市,地级市（区）
410600,1999,鹤壁市,地级市（区）
410700,1999,新乡市,地级市（区）
410800,1999,焦作市,地级市（区）
410900,1999,濮阳市,地级市（区）
411000,1999,许昌市,地级市（区）
411100,1999,漯河市,地级市（区）
411200,1999,三门峡市,地级市（区）
411300,1999,南阳市,地级市（区）
411400,1999,商丘市,地级市（区）
411500,1999,信阳市,地级市（区）
411600,1999,周口市,地级市（区）
411700,1999,驻马店市,地级市（区）
419001,1999,济源市,省直辖县
420100,1999,武汉市,副省级城市
420200,1999,黄石市,地级市（区）
420300,1999,十堰市,地级市（区）
420500,1999,宜昌市,地级市（区）
420600,1999,襄阳市,地级市（区）
420700,1999,鄂州市,地级市（区）
420800,1999,荆门市,地级市（区）
420900,1999,孝感市,地级市（区）
421000,1999,荆州市,地级市（区）
421100,1999,黄冈市,地级市（区）
421200,1999,咸宁市,地级市（区）
421300,1999,随州市,地级市（区）
422800,1999,恩施土家族苗族自治州,地级市（区）
429004,1999,仙桃市,省直辖县
429005,1999,潜江市,省直辖县
429006,1999,天门市,省直辖县
429021,1999,神农架林区,省直辖县
430100,1999,长沙市,地级市（区）
430200,1999,株洲市,地级市（区）
430300,1999,湘潭市,地级市（区）
430400,1999,衡阳市,地级市（区）
430500,1999,邵阳市,地级市（区）
430600,1999,岳阳市,地级市（区）
430700,1999,常德市,地级市（区）
430800,1999,张家界市,地级市（区）
430900,1999,益阳市,地级市（区）
431000,1999,郴州市,地级市（区）
431100,1999,永州市,地级市（区）
431200,1999,怀化市,地级市（区）
431300,1999,娄底市,地级市（区）
433100,1999,湘西土家族苗族自治州,地级市（区）
440100,1999,广州市,副省级城市
440200,1999,韶关市,地级市（区）
440300,1999,深圳市,副省级城市
440400,1999,珠海市,地级市（区）
440500,1999,汕头市,地级市（区）
440600,1999,佛山市,地级市（区）
440700,1999,江门市,地级市（区）
440800,1999,湛江市,地级市（区）
440900,1999,茂名市,地级市（区）
441200,1999,肇庆市,地级市（区）
441300,1999,惠州市,地级市（区）
441400,1999,梅州市,地级市（区）
441500,1999,汕尾市,地级市（区）
441600,1999,河源市,地级市（区）
441700,1999,阳江市,地级市（区）
441800,1999,清远市,地级市（区）
441900,1999,东莞市,地级市（区）
442000,1999,中山市,地级市（区）
445100,1999,潮州市,地级市（区）
445200,1999,揭阳市,地级市（区）
445300,1999,云浮市,地级市（区）
450100,1999,南宁市,地级市（区）
450200,1999,柳州市,地级市（区）
450300,1999,桂林市,地级市（区）
450400,1999,梧州市,地级市（区）
450500,1999,北海市,地级市（区）
450600,1999,防城港市,地级市（区）
450700,1999,钦州市,地级市（区）
450800,1999,贵港市,地级市（区）
450900,1999,玉林市,地级市（区）
451000,1999,百色市,地级市（区）
451100,1999,贺州市,地级市（区）
451200,1999,河池市,地级市（区）
451300,1999,来宾市,地级市（区）
451400,1999,崇左市,地级市（区）
460100,1999,海口市,地级市（区）
460200,1999,三亚市,地级市（区）
510100,1999,成都市,副省级城市
510300,1999,自贡市,地级市（区）
510400,1999,攀枝花市,地级市（区）
510500,1999,泸州市,地级市（区）
510600,1999,德阳市,地级市（区）
510700,1999,绵阳市,地级市（区）
510800,1999,广元市,地级市（区）
510900,1999,遂宁市,地级市（区）
511000,1999,内江市,地级市（区）
511100,1999,乐山市,地级市（区）
511300,1999,南充市,地级市（区）
511400,1999,眉山市,地级市（区）
511500,1999,宜宾市,地级市（区）
511600,1999,广安市,地级市（区）
511700,1999,达州市,地级市（区）
511800,1999,雅安市,地级市（区）
511900,1999,巴中市,地级市（区）
512000,1999,资阳市,地级市（区）
513200,1999,阿坝藏族羌族自治州,地级市（区）
513300,1999,甘孜藏族自治州,地级市（区）
513400,1999,凉山彝族自治州,地级市（区）
520100,1999,贵阳市,地级市（区）
520200,1999,六盘水市,地级市（区）
520300,1999,遵义市,地级市（区）
520400,1999,安顺市,地级市（区）
520500,1999,毕节市,地级市（区）
520600,1999,铜仁市,地级市（区）
522300,1999,黔西南布依族苗族自治州,地级市（区）
522600,1999,黔东南苗族侗族自治州,地级市（区）
522700,1999,黔南布依族苗族自治州,地级市（区）
530100,1999,昆明市,地级市（区）
530300,1999,曲靖市,地级市（区）
530400,1999,玉溪市,地级市（区）
530500,1999,保山市,地级市（区）
530600,1999,昭通市,地级市（区）
530700,1999,丽江市,地级市（区）
530800,1999,普洱市,地级市（区）
530900,1999,临沧市,地级市（区）
532300,1999,楚雄彝族自治州,地级市（区）
532500,1999,红河哈尼族彝族自治州,地级市（区）
532600,1999,文山壮族苗族自治州,地级市（区）
532800,1999,西双版纳傣族自治州,地级市（区）
532900,1999,大理白族自治州,地级市（区）
533100,1999,德宏傣族景颇族自治州,地级市（区）
533300,1999,怒江傈僳族自治州,地级市（区）
533400,1999,迪庆藏族自治州,地级市（区）
540100,1999,拉萨市,地级市（区）
542100,1999,昌都地区,地级市（区）
542200,1999,山南地区,地级市（区）
542300,1999,日喀则地区,地级市（区）
542400,1999,那曲地区,地级市（区）
542500,1999,阿里地区,地级市（区）
542600,1999,林芝地区,地级市（区）
610100,1999,西安市,副省级城市
610200,1999,铜川市,地级市（区）
610300,1999,宝鸡市,地级市（区）
610400,1999,咸阳市,地级市（区）
610500,1999,渭南市,地级市（区）
610600,1999,延安市,地级市（区）
610700,1999,汉中市,地级市（区）
610800,1999,榆林市,地级市（区）
610900,1999,安康市,地级市（区）
611000,1999,商洛市,地级市（区）
620100,1999,兰州市,地级市（区）
620200,1999,嘉峪关市,地级市（区）
620300,1999,金昌市,地级市（区）
620400,1999,白银市,地级市（区）
620500,1999,天水市,地级市（区）
620600,1999,武威市,地级市（区）
620700,1999,张掖市,地级市（区）
620800,1999,平凉市,地级市（区）
620900,1999,酒泉市,地级市（区）
621000,1999,庆阳市,地级市（区）
621100,1999,定西市,地级市（区）
621200,1999,陇南市,地级市（区）
622900,1999,临夏回族自治州,地级市（区）
623000,1999,甘南藏族自治州,地级市（区）
630100,1999,西宁市,地级市（区）
632100,1999,海东地区,地级市（区）
632200,1999,海北藏族自治州,地级市（区）
632300,1999,黄南藏族自治州,地级市（区）
632500,1999,海南藏族自治州,地级市（区）
632600,1999,果洛藏族自治州,地级市（区）
632700,1999,玉树藏族自治州,地级市（区）
632800,1999,海西蒙古族藏族自治州,地级市（区）
640100,1999,银川市,地级市（区）
640200,1999,石嘴山市,地级市（区）
640300,1999,吴忠市,地级市（区）
640400,1999,固原市,地级市（区）
640500,1999,中卫市,地级市（区）
650100,1999,乌鲁木齐市,地级市（区）
650200,1999,克拉玛依市,地级市（区）
652100,1999,吐鲁番地区,地级市（区）
652200,1999,哈密地区,地级市（区）
652300,1999,昌吉回族自治州,地级市（区）
652700,1999,博尔塔拉蒙古自治州,地级市（区）
652800,1999,巴音郭楞蒙古自治州,地级市（区）
652900,1999,阿克苏地区,地级市（区）
653000,1999,克孜勒苏柯尔克孜自治州,地级市（区）
653100,1999,喀什地区,地级市（区）
653200,1999,和田地区,地级市（区）
654000,1999,伊犁哈萨克自治州,地级市（区）
654200,1999,塔城地区,地级市（区）
654300,1999,阿勒泰地区,地级市（区）
659001,1999,石河子市,省直辖县
659002,1999,阿拉尔市,省直辖县
659003,1999,图木舒克市,省直辖县
659004,1999,五家渠市,省直辖县
130100,2000,石家庄市,地级市（区）
130200,2000,唐山市,地级市（区）
130300,2000,秦皇岛市,地级市（区）
130400,2000,邯郸市,地级市（区）
130500,2000,邢台市,地级市（区）
130600,2000,保定市,地级市（区）
130700,2000,张家口市,地级市（区）
130800,2000,承德市,地级市（区）
130900,2000,沧州市,地级市（区）
131000,2000,廊坊市,地级市（区）
131100,2000,衡水市,地级市（区）
140100,2000,太原市,地级市（区）
140200,2000,大同市,地级市（区）
140300,2000,阳泉市,地级市（区）
140400,2000,长治市,地级市（区）
140500,2000,晋城市,地级市（区）
140600,2000,朔州市,地级市（区）
140700,2000,晋中市,地级市（区）
140800,2000,运城市,地级市（区）
140900,2000,忻州市,地级市（区）
141000,2000,临汾市,地级市（区）
141100,2000,吕梁市,地级市（区）
150100,2000,呼和浩特市,地级市（区）
150200,2000,包头市,地级市（区）
150300,2000,乌海市,地级市（区）
150400,2000,赤峰市,地级市（区）
150500,2000,通辽市,地级市（区）
150600,2000,鄂尔多斯市,地级市（区）
150700,2000,呼伦贝尔市,地级市（区）
150800,2000,巴彦淖尔市,地级市（区）
150900,2000,乌兰察布市,地级市（区）
152200,2000,兴安盟,地级市（区）
152500,2000,锡林郭勒盟,地级市（区）
152900,2000,阿拉善盟,地级市（区）
210100,2000,沈阳市,副省级城市
210200,2000,大连市,副省级城市
210300,2000,鞍山市,地级市（区）
210400,2000,抚顺市,地级市（区）
210500,2000,本溪市,地级市（区）
210600,2000,丹东市,地级市（区）
210700,2000,锦州市,地级市（区）
210800,2000,营口市,地级市（区）
210900,2000,阜新市,地级市（区）
211000,2000,辽阳市,地级市（区）
